ID annonceur,Titre,prix fixe,Description,Pays,Ville,Catégories
AN001,Article étudiant 1,1000,Description courte de l'article 1,Bénin,Cotonou,Catégorie Démo
AN002,Article étudiant 2,1100,Description courte de l'article 2,Bénin,Abomey-Calavi,Catégorie Démo
AN003,Article étudiant 3,1200,Description courte de l'article 3,Bénin,Cotonou,Catégorie Démo
AN004,Article étudiant 4,1300,Description courte de l'article 4,Bénin,Abomey-Calavi,Catégorie Démo
AN005,Article étudiant 5,1400,Description courte de l'article 5,Bénin,Cotonou,Catégorie Démo
AN006,Article étudiant 6,1500,Description courte de l'article 6,Bénin,Abomey-Calavi,Catégorie Démo
AN007,Article étudiant 7,1600,Description courte de l'article 7,Bénin,Cotonou,Catégorie Démo
AN008,Article étudiant 8,1700,Description courte de l'article 8,Bénin,Abomey-Calavi,Catégorie Démo
AN009,Article étudiant 9,1800,Description courte de l'article 9,Bénin,Cotonou,Catégorie Démo
AN010,Article étudiant 10,1900,Description courte de l'article 10,Bénin,Abomey-Calavi,Catégorie Démo
AN011,Article étudiant 11,2000,Description courte de l'article 11,Bénin,Cotonou,Catégorie Démo
AN012,Article étudiant 12,2100,Description courte de l'article 12,Bénin,Abomey-Calavi,Catégorie Démo
AN013,Article étudiant 13,2200,Description courte de l'article 13,Bénin,Cotonou,Catégorie Démo
AN014,Article étudiant 14,2300,Description courte de l'article 14,Bénin,Abomey-Calavi,Catégorie Démo
AN015,Article étudiant 15,2400,Description courte de l'article 15,Bénin,Cotonou,Catégorie Démo
AN016,Article étudiant 16,2500,Description courte de l'article 16,Bénin,Abomey-Calavi,Catégorie Démo
AN017,Article étudiant 17,2600,Description courte de l'article 17,Bénin,Cotonou,Catégorie Démo
AN018,Article étudiant 18,2700,Description courte de l'article 18,Bénin,Abomey-Calavi,Catégorie Démo
AN019,Article étudiant 19,2800,Description courte de l'article 19,Bénin,Cotonou,Catégorie Démo
AN020,Article étudiant 20,2900,Description courte de l'article 20,Bénin,Abomey-Calavi,Catégorie Démo
AN021,Article étudiant 21,3000,Description courte de l'article 21,Bénin,Cotonou,Catégorie Démo
AN022,Article étudiant 22,3100,Description courte de l'article 22,Bénin,Abomey-Calavi,Catégorie Démo
AN023,Article étudiant 23,3200,Description courte de l'article 23,Bénin,Cotonou,Catégorie Démo
AN024,Article étudiant 24,3300,Description courte de l'article 24,Bénin,Abomey-Calavi,Catégorie Démo
AN025,Article étudiant 25,3400,Description courte de l'article 25,Bénin,Cotonou,Catégorie Démo
AN026,Article étudiant 26,3500,Description courte de l'article 26,Bénin,Abomey-Calavi,Catégorie Démo
AN027,Article étudiant 27,3600,Description courte de l'article 27,Bénin,Cotonou,Catégorie Démo
AN028,Article étudiant 28,3700,Description courte de l'article 28,Bénin,Abomey-Calavi,Catégorie Démo
AN029,Croquettes de haricot,500,Croquettes maison prêtes à consommer,Bénin,Cotonou,Snacks & Produits faits maison
AN030,Gâteau au chocolat,800,Tranche de gâteau moelleux fait maison,Bénin,Abomey-Calavi,Snacks & Produits faits maison
